"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","83","Cenário 03: Deve falhar ao realizar cadastro com nome em branco","","Mon Mar 30 13:08:53 UTC 2026","passed","Mon Mar 30 13:08:53 UTC 2026","","Feature: Teste de Cadastro de Usuário","qa.challenge.api.tests.RegisterTest","registrationWithEmptyName"
"","404","Cenário 01: Deve realizar cadastro com sucesso","","Mon Mar 30 13:08:53 UTC 2026","passed","Mon Mar 30 13:08:53 UTC 2026","","Feature: Teste de Cadastro de Usuário","qa.challenge.api.tests.RegisterTest","registrationSuccessful"
"","335","Cenario 09: Nao deve realizar login com senha nula","","Mon Mar 30 13:08:32 UTC 2026","passed","Mon Mar 30 13:08:32 UTC 2026","","Feature: Teste de Login de Usuário","qa.challenge.api.tests.LoginUserTest","loginWithNullPassword"
"","20557","Cenario 10: Deve aplicar rate limit no login","","Mon Mar 30 13:08:32 UTC 2026","failed","Mon Mar 30 13:08:53 UTC 2026","","Feature: Teste de Login de Usuário","qa.challenge.api.tests.LoginUserTest","shouldApplyRateLimitOnLogin"
"","407","Cenario 02: Nao deve realizar login com email invalido","","Mon Mar 30 13:08:29 UTC 2026","passed","Mon Mar 30 13:08:30 UTC 2026","","Feature: Teste de Login de Usuário","qa.challenge.api.tests.LoginUserTest","loginWithInvalidEmail"
"","396","Cenario 04: Nao deve realizar login com senha invalida","","Mon Mar 30 13:08:30 UTC 2026","passed","Mon Mar 30 13:08:30 UTC 2026","","Feature: Teste de Login de Usuário","qa.challenge.api.tests.LoginUserTest","loginWithInvalidPassword"
"","90","Cenário 07: Deve falhar ao realizar cadastro com administrador inválido","","Mon Mar 30 13:08:54 UTC 2026","passed","Mon Mar 30 13:08:54 UTC 2026","","Feature: Teste de Cadastro de Usuário","qa.challenge.api.tests.RegisterTest","registrationWithInvalidAdministrador"
"","328","Cenario 04: Deve falhar ao realizar edição com campos nulos","","Mon Mar 30 13:08:55 UTC 2026","passed","Mon Mar 30 13:08:56 UTC 2026","","Feature: Testes de Edição de Usuário","qa.challenge.api.tests.EditUserTest","editUserWithNullFields"
"","166","Cenario 03: Deve retornar erro ao obter usuário com ID inexistente","","Mon Mar 30 13:08:56 UTC 2026","passed","Mon Mar 30 13:08:56 UTC 2026","","Feature: Teste de Obtenção de Usuário","qa.challenge.api.tests.GetUserTest","getUserIdNonexistent"
"","481","Cenario 03: Deve criar um novo usuário ao tentar editar um usuário inexistente","","Mon Mar 30 13:08:55 UTC 2026","passed","Mon Mar 30 13:08:55 UTC 2026","","Feature: Testes de Edição de Usuário","qa.challenge.api.tests.EditUserTest","editNonExistentUser"
"","316","Cenario 08: Nao deve realizar login com email nulo","","Mon Mar 30 13:08:32 UTC 2026","passed","Mon Mar 30 13:08:32 UTC 2026","","Feature: Teste de Login de Usuário","qa.challenge.api.tests.LoginUserTest","loginWithNullEmail"
"","322","Cenário 06: Deve falhar ao realizar cadastro com e-mail existente","","Mon Mar 30 13:08:54 UTC 2026","passed","Mon Mar 30 13:08:54 UTC 2026","","Feature: Teste de Cadastro de Usuário","qa.challenge.api.tests.RegisterTest","registrationWithExistingEmail"
"","98","Cenário 05: Deve falhar ao realizar cadastro com senha em branco","","Mon Mar 30 13:08:54 UTC 2026","passed","Mon Mar 30 13:08:54 UTC 2026","","Feature: Teste de Cadastro de Usuário","qa.challenge.api.tests.RegisterTest","registrationWithEmptyPassword"
